Name,Brief Description,Proximity,Full Address,Street Address,City,State,Zip Code,Phone Number,Web Site,Hours of Operation,Intake,Fee,Features,Detailed Description,Eligibility,Application Procedure,Required Documents,Age Restriction,Languages,lon,lat,marker-color,marker-size,marker-symbol
El Museo del Barrio,"Museum dedicated to collecting, preserving, and exhibiting the artistic heritage of Latin Americans in the United States. Public programs include music, dance, film, and educational programs for people of all ages.  For the price of admission, contact the museum.",,"1230 Fifth Avenue, NEW YORK, NY, 10029",1230 Fifth Avenue,NEW YORK,NY,10029,(212) 831-7272,http://www.elmuseo.org,Tue - Sat: 11:00 AM - 6:00 PM,,,"Dance/Music/Theater, Museum",,,,,,,-73.95154684782028,40.793400567898054,,,
Eldridge Street Project,"Organization dedicated to restoring the historic Eldridge Street Synagogue as a center for Jewish heritage. Tours are available.  For the price of admission, contact the museum.",,"12 Eldridge Street, NEW YORK, NY, 10002",12 Eldridge Street,NEW YORK,NY,10002,(212) 219-0888,,"Tue - Thu, Sun: 11:00 AM - 4:00 PM",,,Museum,,,,,,,-73.993579,40.714763,,,
Fire Department Museum and Learning Center,"The Museum is opened to the general public and also offers walk-through tours for schoolchildren, day camps and youth and senior groups. The Museum is open to tour groups by appointment only.For the price of admission, contact the museum.",,"278 Spring Street, NEW YORK, NY, 10013",278 Spring Street,NEW YORK,NY,10013,(212) 691-1303,,Tue - Sun: 10:00 AM - 4:00 PM,,,Museum,,,,,,,-74.007005,40.725685,,,
Flushing Town Hall,"Arts center and home of the Flushing Council on Culture and the Arts, located in an 1862 Romanesque Revival building. Public programs include art exhibitions, concerts, tours, and educational programs. For the price of admission, contact the museum.",,"137-35 Northern Boulevard, FLUSHING, NY, 11354",137-35 Northern Boulevard,FLUSHING,NY,11354,(718) 463-7700,http://www.flushingtownhall.org,,,,"Dance/Music/Theater, Film, Museum",,,,,,,-73.83005619049071,40.76393175378055,,,
Fraunces Tavern Museum,"Museum featuring a collection of objects related to early American and New York City history. Tours are available. For the price of admission, contact the museum.",,"54 Pearl Street, NEW YORK, NY, 10004",54 Pearl Street,NEW YORK,NY,10004,(212) 425-1778,,Tue - Fri: 10:00 AM - 5:00 PM; Sat: 10:00 AM - 5:00 PM,,,Museum,,,,,,,-74.011347,40.703442,,,
Frick Collection,"Mansion housing sixteen galleries of paintings, sculpture, and decorative arts from the Renaissance through the 19th century. For the price of admission, contact the museum.",,"1 East 70th Street, NEW YORK, NY, 10021",1 East 70th Street,NEW YORK,NY,10021,(212) 288-0700,,Tue - Sat: 10:00 AM - 6:00 PM; Sun: 11:00 AM - 5:00 PM,,,Museum,,,,,,,-73.967167,40.770941,,,
Hamilton Grange National Memorial,"Federal-style home of the first United States Secretary of the Treasury, Alexander Hamilton. Now a National Parks Service site. For the price of admission, contact the museum. ",,"287 Convent Avenue, NEW YORK, NY, 10005",287 Convent Avenue,NEW YORK,NY,10005,(212) 283-5154,,Wed - Sun: 10:00 AM - 5:00 PM,,,Museum,,,,,,,-73.947577,40.822308,,,
Historic Richmond Town,"Living history village and Museum complex. Visitors can explore the diversity of the American experience, especially that of Staten Island and its neighboring communities, from the colonial period to the present.  For the price of admission, contact the museum.",,"441 Clarke Avenue, STATEN ISLAND, NY, 10306",441 Clarke Avenue,STATEN ISLAND,NY,10306,(718) 351-1611,,September - June: Wed - Sun: 1:00 PM - 5:00 PM; July - August: Wed - Sat: 10:00 AM - 5:00 PM; Sun: 1:00 PM - 5:00 PM,,,"Historical Society, Museum",,,,,,,-74.145879,40.571183,,,
International Center of Photography,"Museum devoted to photography.   For the price of admission, contact the museum.",,"1114 Avenue of the Americas, NEW YORK, NY, 10036",1114 Avenue of the Americas,NEW YORK,NY,10036,(212) 857-0000,,"Tue - Thu: 10:00 AM - 6:00 PM; Fri: 10:00 AM - 8:00 PM; Sat, Sun: 10:00 AM - 6:00 PM",,,"Film, Museum",,,,,,,-73.982904,40.754939,,,
Intrepid Sea-Air-Space Museum,"Built on the former air-transport carrier the USS Intrepid, this Museum is dedicated to America's modern military history and space travel. For the price of admission, contact the museum.",,"Pier 86: 12th Avenue and 46th Street, NEW YORK, NY, 10036",Pier 86: 12th Avenue and 46th Street,NEW YORK,NY,10036,(212) 245-0072,http://www.intrepidMuseum.org,"October 1st - March 31st (closed Mon) Tues - Sun: 10:00 AM - 5:00 PM; April 1st - Sept. 30th Mon - Fri: 10:00 AM - 5:00 PM; Sat, Sun and Holidays: 10:00 AM - 6:00 PM.  Closed Thanksgiving and Christmas days.",,,Museum,,,,,,,-74.00042,40.7651,,,
Jamaica Center for Arts and Learning,"Performing and visual arts center dedicated to providing arts education and cultural programs to the south eastern Queens community. For the price of admission, contact the museum.",,"161-04 Jamaica Avenue, JAMAICA, NY, 11432",161-04 Jamaica Avenue,JAMAICA,NY,11432,(718) 658-7400,http://www.jcal.org,,,,"Dance/Music/Theater, Museum",,,,,,,-73.79814594984055,40.70393214196682,,,
Jewish Museum,"Museum dedicated to Jewish art and culture. Guided tours are available. For the price of admission, contact the museum.",,"1109 Fifth Avenue, NEW YORK, NY, 10128",1109 Fifth Avenue,NEW YORK,NY,10128,(212) 423-3200,,Sun - Wed: 11:00 AM - 5:45 PM; Thu: 11:00 AM - 8:00 PM; Fri: 11:00 AM - 3:00 PM,,,Museum,,,,,,,-73.95725727081299,40.7853222668934,,,
Lower East Side Tenement Museum,"Museum exhibiting the lives of immigrant tenement residents. Only accessible by guided tour. Various tours are available.For the price of admission, contact the museum.",,"108 Orchard Street, NEW YORK, NY, 10002",108 Orchard Street,NEW YORK,NY,10002,(212) 431-0233,,"Mon: 11:00 AM - 5:30 PM; Tue - Fri: 11:00 AM - 6:00 PM; Sat, Sun: 10:45 AM - 6:00 PM",,,Museum,,,,,,,-73.98981,40.718722,,,
Merchants House Museum,"Townhouse from 1832, preserved with its original furniture, decorative arts, and family memorabilia. For the price of admission, contact the museum.",,"29 East Fourth Street, NEW YORK, NY, 10003",29 East Fourth Street,NEW YORK,NY,10003,(212) 777-1089,,"Mon, Thu - Sun: 12:00 PM - 5:00 PM",,,Museum,,,,,,,-73.99232983589172,40.727663262046185,,,
Metropolitan Museum of Art,"Museum featuring more than two million works of art. Public programs include gallery talks, guided and audio tours, lectures, films, and concerts, including special events for children and families. For the price of admission, contact the museum.",,"1000 Fifth Avenue, NEW YORK, NY, 10028",1000 Fifth Avenue,NEW YORK,NY,10028,(212) 535-7710,http://www.metMuseum.org,"Tue - Thu: 9:30 AM - 5:30 PM; Fri, Sat: 9:30 AM - 9:00 PM; Sun: 9:30 AM - 5:30 PM",,,Museum,,,,,,,-73.96334052085876,40.77947514092035,,,
Museum at Fashion Institute of Technology,"Exhibits textiles and costumes from all over the world and represents style throughout history. For the price of admission, contact the museum.",,"227 West 27th Street, NEW YORK, NY, 10001",227 West 27th Street,NEW YORK,NY,10001,(212) 217-5800,,Tue - Fri: 12:00 PM - 8:00 PM; Sat: 10:00 AM - 5:00 PM,,,Museum,,,,,,,-73.994865,40.747213,,,
Museum for African Art,"Museum dedicated to traditional African art. Galleries are currently closed. Museum store and offices are open. For the price of admission, contact the museum.",,"36-01 43rd Avenue, LONG ISLAND CITY, NY, 11101",36-01 43rd Avenue,LONG ISLAND CITY,NY,11101,(718) 784-7700,,Mon - Fri: 10:00 AM - 6:00 PM,,,Museum,,,,,,,-73.92822235822678,40.74619013773624,,,
Museum of American Finance,"Museum dedicated to documenting the history of the American economy. Formerly known as the Museum of American Financial History.For the price of admission, contact the museum.  ",,"28 Broadway, NEW YORK, NY, 10004",28 Broadway,NEW YORK,NY,10004,(212) 908-4110,,Tue - Sat: 10:00 AM - 4:00 PM,,,Museum,,,,,,,-74.013098,40.705797,,,
Museum of Arts and Design,"Museum dedicated to decorative and functional objects demonstrating American craftsmanship. For the price of admission, contact the museum.",,"2 Columbus Circle, NEW YORK, NY, 10019",2 Columbus Circle,NEW YORK,NY,10019,(212) 299-7777,,Mon - Wed: 10:00 AM - 6:00 PM; Thu: 10:00 AM - 8:00 PM; Fri - Sun: 10:00 AM - 6:00 PM,,,Museum,,,,,,,-73.98198,40.767462,,,
Museum of Chinese in the Americas,"Museum dedicated to reclaiming, preserving, and interpreting the history and culture of Chinese and their descendants in the Western Hemisphere.For the price of admission, contact the museum.",,"70 Mulberry Street, NEW YORK, NY, 10013",70 Mulberry Street,NEW YORK,NY,10013,(212) 619-4785,,"Tue - Thu: 12:00 PM - 6:00 PM; Fri: 12:00 PM - 7:00 PM; Sat, Sun: 12:00 PM - 6:00 PM",,,Museum,,,,,,,-73.99909,40.716095,,,
Museum of Jewish Heritage,"Museum dedicated to preserving and exhibiting personal objects, photographs, and original films that illustrate the story of Jewish heritage in the twentieth century. Special events feature music, film, speakers, and family programs. For the price of admission, contact the museum.",,"36 Battery Place, NEW YORK, NY, 10280",36 Battery Place,NEW YORK,NY,10280,(646) 437-4200,http://www.mjhnyc.org,Sun - Thu: 10:00 AM - 5:00 PM; Wed: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 3:00 PM,,,Museum,,,,,,,-74.018281,40.706119,,,
Museum of Modern Art,"Museum dedicated to contemporary art and art research. For the price of admission, contact the museum.",,"11 West 53rd Street, NEW YORK, NY, 10019",11 West 53rd Street,NEW YORK,NY,10019,(212) 708-9400,http://www.moma.org,"Mon, Wed, Thu: 10:30 AM - 5:30 PM; Fri: 10:30 AM - 8:00 PM; Sat, Sun: 10:30 AM - 5:30 PM",,,Museum,,,,,,,-73.977361,40.76146,,,
Museum of Television and Radio,"Provides extensive collection of television and radio programs available for viewing or listening. For the price of admission, contact the museum.",,"25 West 52nd Street, NEW YORK, NY, 10019",25 West 52nd Street,NEW YORK,NY,10019,(212) 621-6600,,"Tue, Wed: 12:00 PM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri - Sun: 12:00 PM - 6:00 PM",,,"Film, Museum",,,,,,,-73.977654,40.760477,,,
Museum of the City of New York,"Museum dedicated to the history of the City and the contributions made by its people and communities. Public programs include tours, concerts, and educational programs, including special events for children and families. For the price of admission, contact the museum. ",,"1220 Fifth Avenue, NEW YORK, NY, 10029",1220 Fifth Avenue,NEW YORK,NY,10029,(212) 534-1672,http://www.mcny.org,Wed - Sun: 10:00 AM - 5:00 PM,,,Museum,,,,,,,-73.9522522687912,40.79241977079868,,,
National Academy of Design,"Includes a Museum of 19th- and 20th-century American art, an honorary artist organization, and a school of fine art.  For the price of admission, contact the museum.",,"1083 Fifth Avenue, NEW YORK, NY, 10128",1083 Fifth Avenue,NEW YORK,NY,10128,(212) 369-4880,,Wed - Thu: 12:00 - 5:00 PM; Fri - Sun: 11:00 AM - 6:00 PM,,,Museum,,,,,,,-73.95827919244766,40.78349242973434,,,
Neue Galerie New York,"Museum devoted to early 20th-century German and Austrian art and design.  For the price of admission, contact the museum.",,"1048 Fifth Avenue, NEW YORK, NY, 10028",1048 Fifth Avenue,NEW YORK,NY,10028,(212) 628-6200,,"Mon, Thu: 11:00 AM - 6:00 PM; Fri: 11:00 AM - 9:00 PM; Sat, Sun: 11:00 AM - 6:00 PM",,,Museum,,,,,,,-73.96022379398346,40.781236035037026,,,
New Museum of Contemporary Art,"Museum devoted exclusively to contemporary art by internationally known and emerging artists. Bookstore on premises. Closed Mondays.For the price of admission, contact the museum.",,"210 Eleventh Avenue, NEW YORK, NY, 1000",210 Eleventh Avenue,NEW YORK,NY,1000,(212) 219-1222,,Tue - Wed: 12:00 PM - 6:00 PM; Thu: 12:00 PM - 8:00 PM; Fri - Sun: 12:00 PM - 6:00 PM,,,Museum,,,,,,,-74.00427103042603,40.74720006589927,,,
New York Hall of Science,"Science and technology Museum featuring educational and interactive exhibits and an outdoor Science Playground.  For the price of admission, contact the museum.",,"47-01 111th Street, CORONA, NY, 11368",47-01 111th Street,CORONA,NY,11368,(718) 699-0005,http://www.nyhallsci.org,"Tue - Thu, 9:30 AM - 2:00 PM; Fri, 9:00 AM - 5:00 PM; Sat - Sun, 12:00 PM - 5:00 PM",,,Museum,,,,,,,-73.85147094726562,40.74719193776603,,,
New York Historical Society,"The New York Historical Society is dedicated to exploring and preserving the history of New York. Exhibitions include American painting, sculpture, books, manuscripts, decorative arts, architectural drawings, photographs and prints. Admission is $10 for adults, $5 for students, seniors and teachers, and free for children under 13 with adult.",,"170 Central Park West, NEW YORK, NY, 10024",170 Central Park West,NEW YORK,NY,10024,(212) 873-3400,http://www.nyhistory.org,Tue - Fri: 10:00 AM - 5:00 PM,,,"Historical Society, Museum",,,,,,,-73.973953,40.779447,,,
PS 1 Contemporary Art Center,"Museum affiliated with the Museum of Modern Art and dedicated to contemporary art. Public programs include educational programs for children and adults and a summer music festival.  For the price of admission, contact the museum.",,"22-25 Jackson Avenue, LONG ISLAND CITY, NY, 11101",22-25 Jackson Avenue,LONG ISLAND CITY,NY,11101,(718) 784-2084,http://www.ps1.org,Mon - Thu: 12:00 PM - 6:00 PM,,,Museum,,,,,,,-73.9472633600235,40.745440301875625,,,
Police Museum,"Provides information about the New York City Police Department and its history through exhibitions, lectures, the internet, publications, school events and other educational programs.For the price of admission, contact the museum.",,"100 Old Slip, NEW YORK, NY, 10005",100 Old Slip,NEW YORK,NY,10005,(212) 480-3100,http://www.nycpoliceMuseum.org,,,,Museum,,,,,,,-74.008161,40.703466,,,
Queens Historical Society,"Organization dedicated to the research, preservation and presentation of the history of Queens. For the price of admission, contact the museum.",,"143-35 37th Avenue, FLUSHING, NY, 11354",143-35 37th Avenue,FLUSHING,NY,11354,(718) 939-0647,,"Tue, Sat, Sun: 2:30 PM - 4:30 PM",,,"Historical Society, Museum",,,,,,,-73.82412314414978,40.763627024805146,,,
Queens Museum of Art,"Museum featuring exhibits, lectures, and workshops on contemporary art, architecture, and design. Special activities include workshops, educational programs, and tours of the Panorama of the City of New York, a 9,335 square foot architectural model of the city.For the price of admission, contact the museum.For the price of admission, contact the museum.",,"Flushing Meadows - Corona Park, FLUSHING, NY, 11368",Flushing Meadows - Corona Park,FLUSHING,NY,11368,(718) 592-9700,http://www.queensMuseum.org,Wed - Sun: 1:00 PM - 8:00 PM,,,Museum,,,,,,,-73.84670734405518,40.74585891047171,,,
Rose Center for Planetary Studies and Hayden Planetarium,"Museum dedicated to the study of the Earth and the universe. For the price of admission, contact the museum.",,"West 81st Street, just west of Central Park West, NEW YORK, NY, 10024","West 81st Street, just west of Central Park West",NEW YORK,NY,10024,(212) 769-5100,,,,,Museum,,,,,,,-73.978192,40.773145,,,
Rose Museum at Carnegie Hall,"Museum exhibiting Carnegie Hall's history and archival treasures.For the price of admission, contact the museum.",,"154 West 57th Street, NEW YORK, NY, 10019",154 West 57th Street,NEW YORK,NY,10019,(212) 903-9629,,Daily: 11:00 AM - 4:30 PM,,,"Historical Society, Museum",,,,,,,-73.979544,40.765139,,,
Skyscraper Museum,"Museum dedicated to studying high-rise buildings through exhibitions, programs and publications. For the price of admission, contact the museum.",,"39 Battery Place, NEW YORK, NY, 10280",39 Battery Place,NEW YORK,NY,10280,(212) 968-1961,,Wed - Sun: 12:00 PM - 6:00 PM,,,Museum,,,,,,,-74.017794,40.705733,,,
Smithsonian National Museum of the American Indian,"Museum dedicated to the preservation, study, and exhibition of the life, languages, literature, history, and arts of Native Americans. For the price of admission, contact the museum.",,"1 Bowling Green, NEW YORK, NY, 10004",1 Bowling Green,NEW YORK,NY,10004,(212) 514-3700,,Mon - Wed: 10:00 AM - 5:00 PM; Thu: 10:00 AM - 8:00 PM; Fri - Sun: 10:00 AM - 5:00 PM,,,Museum,,,,,,,-74.013721,40.704445,,,
Snug Harbor Cultural Center,"Presents concerts and visual arts exhibitions and also serves as the site for a number of other cultural organizations including the Staten Island Children's Museum, the Staten Island Botanical Garden, and the John Noble Collection of maritime materials. ",,"1000 Richmond Terrace, STATEN ISLAND, NY, 10301",1000 Richmond Terrace,STATEN ISLAND,NY,10301,(718) 448-2500,http://www.snug-harbor.org,,,,"Dance/Music/Theater, Garden, Museum",,,,,,,-74.102675,40.644674,,,
Solomon R. Guggenheim Museum,"Art Museum featuring Modern and contemporary art and known for its spiral-shaped building designed by Frank Lloyd Wright. For the price of admission, contact the museum.",,"1071 Fifth Avenue, NEW YORK, NY, 10128",1071 Fifth Avenue,NEW YORK,NY,10128,(212) 423-3500,,Sat - Wed: 10:00 AM - 5:45 PM; Fri: 10:00 AM - 7:45 PM,,,Museum,,,,,,,-73.9589712023735,40.78302937748798,,,
South Street Seaport Museum,"Exhibits include a permanent collection of ship models, vintage posters and matchbooks depicting the grand cargo and passenger vessels that sailed into Manhattan. The 1885 Pioneer offers daily two-hour public voyages from April through September. For the price of admission, contact the museum.",,"207 Front Street, NEW YORK, NY, 10038",207 Front Street,NEW YORK,NY,10038,(212) 748-8600,,April 1 - October 31: Tue - Sun: 10:00 AM - 6:00 PM; November 1 - March 31: Fri - Mon: 10:00 AM - 5:00 PM,,,Museum,,,,,,,-74.003062,40.707152,,,
St. Pauls Chapel,"Church built in 1766. Host to many special events and the exhibit Unwavering Spirit: Hope and Healing at Ground Zero.""""",,"209 Broadway, NEW YORK, NY, 10007",209 Broadway,NEW YORK,NY,10007,(212) 233-4164,,Mon - Sat: 10:00 AM - 6:00 PM; Sun: 10:00 AM - 4:00 PM,,,Museum,,,,,,,-74.009058,40.711153,,,
Staten Island Childrens Museum,"Museum featuring educational exhibits and hands-on activities for children in Staten Island. For the price of admission, contact the museum.",,"1000 Richmond Terrace, STATEN ISLAND, NY, 10301",1000 Richmond Terrace,STATEN ISLAND,NY,10301,(718) 273-2060,http://www.snug-harbor.org,,,,Museum,,,,,,,-74.102675,40.644674,,,
Staten Island Historical Society,"Provides information on the historic village of Richmond, established in 1690, through programs, exhibits, and historic re-enactments of the lives of townspeople.",,"441 Clark Avenue, STATEN ISLAND, NY, 10306",441 Clark Avenue,STATEN ISLAND,NY,10306,(718) 351-1611,,,,,"Historical Society, Museum",,,,,,,-74.14579510688782,40.5711949388942,,,
Staten Island Institute of Arts and Sciences,"Museum dedicated to the art, science and history of Staten Island and its people. Special activities include educational programs and children's programs.  For the price of admission, contact the museum.",,"75 Stuyvesant Place, STATEN ISLAND, NY, 10301",75 Stuyvesant Place,STATEN ISLAND,NY,10301,(718) 727-1135,,Tue - Sat: 9:00 AM - 5:00 PM; Sun: 1:00 PM - 5:00 PM,,,"Dance/Music/Theater, Museum",,,,,,,-74.077722,40.644445,,,
Studio Museum in Harlem,"Museum devoted to the study, documentation, collection, preservation, and exhibition of the art and artifacts of African Americans and the African diaspora. Public programs include guided tours, readings, concerts, lectures, films, and educational programs.For the price of admission, contact the museum.",,"144 West 125th Street, NEW YORK, NY, 10027",144 West 125th Street,NEW YORK,NY,10027,(212) 864-4500,http://www.studioMuseuminharlem.org,Wed - Fri: 12:00 PM - 6:00 PM; Sat: 10:00 PM - 6:00 PM; Sun: 12:00 PM - 6:00 PM,,,Museum,,,,,,,-73.947494,40.808445,,,
The Cloisters,"Branch of the Metropolitan Museum of Art devoted to the art and architecture of medieval Europe. For the price of admission, contact the museum.",,"799 Fort Washington Avenue, NEW YORK, NY, 10040",799 Fort Washington Avenue,NEW YORK,NY,10040,(212) 923-3700,,Tue - Sun:  9:30 AM - 4:45 PM,,,Museum,,,,,,,-73.93174409866333,40.86483994005653,,,
The Morgan Library and Museum,"Former private collection of Pierpont Morgan made public in 1924. Includes illuminated, literary, and historical manuscripts, early printed books, old master drawings and prints. Entry fees do apply.For the price of admission, contact the museum.",,"225 Madison Avenue, NEW YORK, NY, 10016",225 Madison Avenue,NEW YORK,NY,10016,(212) 685-0008,http://www.morganlibrary.org,Tue - Thu: 10:30 AM - 5:00 PM; Fri: 10:30 AM - 9:00 PM; Sat: 10:00 AM - 6:00 PM; Sun: 11:00 AM - 6:00 PM,,,Museum,,,,,,,-73.981807,40.749085,,,
Trinity Church,Landmark neo-Gothic church built in 1846. Self-guided walking tours are available.,,"74 Trinity Place, NEW YORK, NY, 10006",74 Trinity Place,NEW YORK,NY,10006,(212) 602-0800,,Daily: 7:00 AM - 6:00 PM,,,Museum,,,,,,,-74.01219964027405,40.70806582380646,,,
Trinity Church Museum,"Museum dedicated to the history of Trinity Church.For the price of admission, contact the museum.",,"75 Trinity Place, NEW YORK, NY, 10006",75 Trinity Place,NEW YORK,NY,10006,(212) 602-0801,,Mon - Fri: 9:00 AM - 11:45 AM; Sat: 10:00 AM - 3:45 PM; Sun: 1:00 PM - 3:45 PM,,,Museum,,,,,,,-74.01238739490509,40.70800889338394,,,
Vietnam Veterans Memorial,"Memorial dedicated to the Vietnam War and the 1,741 individuals who entered military service in the City of New York.",,"55 Water Street, NEW YORK, NY, 10004",55 Water Street,NEW YORK,NY,10004,,,,,,Museum,,,,,,,-74.009771,40.703395,,,
Whitney Museum of American Art,"Museum featuring American art from the 20th century. Various programs occur throughout the year, including ones for children and families. For the price of admission, contact the museum.",,"945 Madison Avenue, NEW YORK, NY, 10021",945 Madison Avenue,NEW YORK,NY,10021,(800) 944-8639,,"Wed, Thu: 11:00 AM - 6:00 PM; Fri: 1:00 PM - 9:00 PM; Sat, Sun: 11:00 AM - 6:00 PM",,,Museum,,,,,,,-73.964011,40.773479,,,
